,Message,Category
535,problem with voice call after u guys added video call features,Security Class
536,whatsapp calling not working on asus zenfone,Security Class
537,why i can't send mp  audio file to anyone  but they can send me,Security Class
538,needs reinstallation every week,Security Class
539,the video call quality sucks,Security Class
540,it requires a fast and strong connection else it will never work,Security Class
541,in video call imo is much better as it works with slow connection as well,Security Class
542,sometimes don't connect at all,Security Class
543,because it make lots virus of ads in my phone i format it many times,Security Class
544,inmprovements whats app is on another level these days just try to improve the video calling quality thanx,Security Class
545,video quality is good,Security Class
546,one thing that video quality of the app is very bad,Security Class
547,give also video calling voice quality and network,Security Class
548,the quality of the video is very very good,Security Class
549,nice video call quality,Security Class
550,"i also denied specific permissions which it also ignored, restarted itself ",Security Class
551,even stops in between and does not respond very well,Security Class
552,the audio and video call is just so poor it dont work properly,Security Class
553,video not clear then voice also not clear in video call,Security Class
554,this is a shirt app now nothing f*cking downloads right i can't even f*cking read the danm books i downloaded,Security Class
555,and i've had to re download some of my pdfs because some if them just disappeared one day,Security Class
556,lost plenty of important documents,Security Class
557,the ibooks store isn't working,Security Class
558,"whenever i click on the store it's just blank 
white",Security Class
559,"i have a lot of books, but the little circle is always spinning, so i can't even get to the edit button to delete them",Security Class
560,"the little cloud button with the arrow always shows up, and it have to constantly press it before the book will download",Security Class
561,the app will not let me download and i have tried multiple times,Security Class
562,"allows renaming of pdf with slash in name, then may delete document if you try to email",Security Class
563,loss of files inexlicably,Security Class
564,my books are out of order and some books looks distorted,Security Class
565,"when the night theme is used on a book, sometimes the background switches to a darkish blue after a few seconds, and sometimes it stays bright white - either way, i have squint",Security Class
566,the app just  crashes after idling for five minutes,Security Class
567,it deletes my book marks,Security Class
568,but every time i get on it it loses my place in the book,Security Class
569,it won't even let me download a book without saying their is a mismatch error and i can not download a book,Security Class
570,i am devastated and can't read my book like this,Security Class
571,"the edit  button is missing, so books cannot be deleted",Security Class
572,i bought american sniper and it won't download but it took the money off of the account,Security Class
573,"book downloaded ok, but app wont allow me to access it",Security Class
574,purchased school book through here and it glitches and freezes constantly,Security Class
575,"not to mention, you buy it and your stuck with the book that's doesn't even load",Security Class
576,in recent weeks this app has become difficult to open,Security Class
577,sometimes it than crashes,Security Class
578,often i try to access either my library or the store and get nothing but a blank page,Security Class
579,it's even hard to use when i downloaded a free comic book - it usually turns the page when i just want to zoom in and exlore the page,Security Class
580,but if i try and put a book on it from my computer it will take ibooks off my ipod :(,Security Class
581,they don't even show up as being able to download them,Security Class
582,"and takes forever to load the nex chapter--while i sit, staring at a blank screen and waiting",Security Class
583,i paid around 5 dollars for a book only to have pages misses (unintentional cliffhangers) and typos galore,Security Class
584,"sometimes, the book won't download, so i can't download it",Security Class
585,it also crashes when i flip through too many pages,Security Class
586,doesn't work and all my documents are gone,Security Class
587,spent 3 weeks reading a book only to have this app continue to crash every time i open it for the past week while i try to read the last 30 pages,Security Class
588,whoever i open the app the screen goes blank,Security Class
589,"i've uninstalled, reinstalled, turned off/on the ipad and nothing will work",Security Class
590,"this app takes forever to download anything, won't let you open what you have downloaded half the time, then when you're halfway through a book and turn the page they're all blank",Security Class
591,"well you are probably thinking were my money goes i will give you a hint not music because i tried to buy at least two book and they didnt down load, so no i have no money and no books",Security Class
592,"not sure what happened but i went to continue reading a book and it shut down then proceeded to start loading 3, 6, and 8 copies of the same books",Security Class
593,"using an ipad2, ios7 and can no longer access any of the books i have purchased over the past",Security Class
594,"all the books showed up in library on 1st run after reload, but could not open any book",Security Class
595,"after closing and reopening app, could not even get books to show in library",Security Class
596,the bookstore takes forever to load; i have 2 books in limbo that won't finish downloading and aren't able to be deleted; purchases  available to download  that are already freakin downloaded on my ipad,Security Class
597,app crashes every 30 secs to 1 min without fail,Security Class
598,"i read quite a few books on my iphone, and, beginning several months ago, i began to have issues downloading books",Security Class
599,"now anytime i buy a new book on my iphone, i have to delete the app and redownload it- very frustrating",Security Class
600,maybe this is fixed within ios 8 but since i'm not willing to risk my phone's functionality/speed/etc i guess i'm stuck in constantly deleting and downloading this app,Security Class
601,"once you pdf are in, they will never go out",Security Class
602,will not let me download books i already purchased and constantly tells me can not connect to itunes store when i can,Security Class
603,books never show,Security Class
604,"and i frown, sad to miss out on the stories i've been counting on all day",Security Class
605,now i can't get my books back to the shelf after pressing the store button,Security Class
606,there is only a white screen with no way of getting back to my library,Security Class
607,lost all my books and mags,Security Class
608,"now i can see my personal library on the iphone it asked for my password if i do put it i see nothing, if i cancel it from password screen",Security Class
609,sometimes the library goes away sometimes it stays,Security Class
610,now ibooks on ipad is wiped out clean and nothing ever shows v,Security Class
611,buy button in previews is broken,Security Class
612,"i have some icloud books which i want to delete but everytime i delete them, they just reapear from nowhere",Security Class
613,plus some books i wanted to download just stopped downloading and they never resumed again,Security Class
614,"ios7 is glitchy, crashes",Security Class
615,randomly takes me to the store and won't go back to my library,Security Class
616,why every time i open the app it asks me for my password,Security Class
617,"however, when i click it, all it does is brings me to the last page of the sample",Security Class
618,"so, if i want to buy the book, i have to go through the store again",Security Class
619,it starts to load and never opens,Security Class
620,"still have some folders, all empty",Security Class
621,i never had any problems with ibooks until you  fixed  it now it freezes up all the time,Security Class
622,"recent best sellers, when i click on see all, only shows 9 books",Security Class
623,tapping on the left margin doesn't consistently register and doesn't always go back a page,Security Class
624,when highlighting you can't drag to the nex page if the sentence happens to be at a page break,Security Class
625,syncing between devices is not always consistent,Security Class
626,"ibooks will often let you see where you where, but freeze for several seconds, go back to your library view, stay frozen, then after loading forever return to where you had left off",Security Class
627,"occasionally (which just promoted me to come write a review) it will start to do the above routine, but then delete the book altogether, causing me to have to re-download it",Security Class
628,the app is completely unresponsive,Security Class
629,only a single area can be manipulated,Security Class
630,this problem continues despite speaking to apple support,Security Class
631,i cannot add a collection,Security Class
632,"i found the add button, but nothing shows up to add, no box, no keyboard to type",Security Class
633,"crash, every time",Security Class
634,it double and triple download fix it or i am going to kindle,Security Class
635,"you can highlight books, but open a pdf, and the highlight feature inexlicably disappears",Security Class
636,and the code already *exsts* in the app -- but disappears if the document is a pdf,Security Class
637,why can't i download 312 with the old look,Security Class
638,i am having problems purchasing a book at the end of a sample,Security Class
639,the app doesnt even open,Security Class
640,i cant read any of my books and i am furious please fix,Security Class
641,"books take forever to download, if they download at all",Security Class
642,awesome but every time i open this one book it seems to crash,Security Class
643,i downloaded it for free but when i searched up the book it said 1099  not free,Security Class
644,bookmarks no longer work,Security Class
645,"my books won't even load now and for the first time ever, it appeared as if i had double-clicked the home button and i had screen slides, but i didn't and i could still search",Security Class
646,but it wouldn't even let me do anything else,Security Class
647,"used to be good, now it loses files during sync, and locks up when you attempt to save a",Security Class
648,"if you, in edit mode, reorder a file and rename it in the same session (without going to &#34in between), it confuses the file names, usually giving two different files the same name",Security Class
649,"books turn up missing, refuse to show up even after being downloaded, updates don't register, and when they do they don't disappear after downloading the update",Security Class
650,"gahh always freezing up, not completing downloads &amp",Security Class
651,as of late the store just won't even load,Security Class
652,"what gives cannot download the resource, response on all books",Security Class
653,"after being a flawless reader, this app is freezing &amp",Security Class
654,and stops downloading my book about 3/4 of the way done,Security Class
655,"if i close the app and reopen it, the book shows up as waiting to download entirely",Security Class
656,"i can't access it unless i uninstall the app and reinstall it, at which point, the book shows up just fine",Security Class
657,it becomes so unreliable that shuts me down all the time,Security Class
658,"update to clear history please , acc hacked into and unspeakable books downloaded",Security Class
659,books take forever to load as well,Security Class
660,"this software really needs some updates, i just cannot download the book, every time i click the cloud icon to download, it just died there, i signed out my apple id and reboot the machine, it doesn't work",Security Class
661,this app takes my money but will not download the books that i paid for,Security Class
662,"ibooks doesn't work, at all",Security Class
663,paid for one book received another,Security Class
664,"most of my studying is in italian, and it keeps autocorrecting my correctly spelled italian words to something english",Security Class
665,i can't seem to send the books that i've read to the cloud,Security Class
666,free books link from bottom is now gone,Security Class
667,"i enjoy this reader overall but i can't understand why it needs to close my book, refresh and reopen my book every time i multitask",Security Class
668,i think the older version is buged ,Security Class
669,i iwn a 4g ipod and when i'm opening my pdf files they don't open (they stay loading but never nothing happens) and is really frustrating,Security Class
670,i really love this the app but can't delete books i have read,Security Class
671,they remain on the bookshelf even after deleting,Security Class
672,this app usually works really well for me but for almost a week it has been refusing to let me download a book,Security Class
673,it asks me over and over to either type in my password or scan my finger but after a few tries it just quits,Security Class
674,i have been using ibooks gia a very long time but just found out i can not keep the pdf documents i downloaded when i redownload the app,Security Class
675,"so im using my grandfathers account and buying books, and it isnt working",Security Class
676,i cannot highlight books using this app (ipad mini),Security Class
677,i also can't update book changes on iphone,Security Class
678,"it freezes, books take forever or just don't download, and if i try to download more than one, it can take days before they even show up in my library",Security Class
679,i have also noticed it won't let me edit my list very easily because it constantly looks like it's refreshing and  it randomly shuts down and i can't bookmark my page,Security Class
680,i couldn't even open the app,Security Class
681,i tried downloading it but the icon disappeared from my home screen,Security Class
682,"when i went back to the app store to get it, my only option was to  open  ibooks but the button didn't do anything",Security Class
683,my app will not open it won't open like what the heck,Security Class
684,app keeps shutting down while i am reading,Security Class
685,"stopped for a while, but has restarted again",Security Class
686,"i noticed when i googled it that there should be the option to change the tex size where it says  aa , but it's not there",Security Class
687,now it never stays in sync,Security Class
688,"i tried to reread one of my purchased books and when i went to me library, it said some of my books were downloading",Security Class
689,":/ its my first time using this app but nothing on it seems to work, the store isn't even scaled properly, and nothing happens when i do press a button",Security Class
690,the store takes forever to load,Security Class
691,why can't i find the books i have purchased,Security Class
692,i cant refund the books i bought because i cant get,Security Class
693,"loaded up ibooks on ipad and boom, no books show up",Security Class
694,keeps telling me that it doesn't exst anymore,Security Class
695,i can't even download it i used to have i books but then i delete it for more room n now i try to get it again n now i can't,Security Class
696,) it is annoying to go through the purchase process including entering password and then find out it is unavailable,Security Class
697,it has been crashing on me lately though,Security Class
698,"not all the time, but now and again it just turns off",Security Class
699,"now, deleting files is a major pain in the butt",Security Class
700,"even if you have fast internet , it takes a while for it to download a book , and a huge problem i had , is that i can't download the books i bought before",Security Class
701,i preordered a book and it's here now and it doesn't even download,Security Class
702,"loved the app before, but there is a bug when you try to change font size",Security Class
703,"either bigger or smaller, it doesn't do anything and it crashes the app",Security Class
704,nothing but a white screen,Security Class
705,cannot access my purchases nor can i search the library,Security Class
706,it opens up to nothing and if i try to ext the app it pops right back up again,Security Class
707,i deleted the app and re-downloaded it again to find still just a white screen,Security Class
708,"when using ibooks, the app freezes up consistently( you can rely on it freezing up on you)",Security Class
709,"when attempting to highlight point and/or create noted, again, ibooks is reliable in that it freezes",Security Class
710,try to download the book and it won't download it also keeps blacking out when i try to read the reviews of the books,Security Class
711,"also for some reason half of my books wont load on the home page, ive restarted my phone etcbut doesnt help",Security Class
712,the books app store also freezes like crazy,Security Class
713,"i cant download books, or it takes a century to go the books page to read the synopsis etc",Security Class
714,still having problems syncing across devices,Security Class
715,installed books using ipad; only to find them deleted days later when trying to sync with itunes,Security Class
716,"i don't like to keep my ebooks as i download frequently and need to always delete them when i finish reading them, but i can't delete them since the button for 'edit' always seems to be loading",Security Class
717,and it just keeps showing up as loading no matter whether i've restarted my ipod or quit the app,Security Class
718,"i'm not too crazy about this version, because even though i can delete books i don't want anymore or just don't want stored on the program, it seems as thought you can't permanently delete them from ibooks anymore",Security Class
719,they fixed the app crashing issue when i try to buy books,Security Class
720,"additionally, whenever i start the app, it goes into a holding mode and i can't delete or move books for a good 5 minutes",Security Class
721,the words are bigger and every time i try to make them smaller it shuts down,Security Class
722,then when i try to get back on the words don't show up,Security Class
723,lost all my books and apple support says o well,Security Class
724,i bought a book on august 12 and it hasn't downloaded yet,Security Class
725,"after using ibooks for a bit, i lost all my books, saved pdfs and can't see any of my books",Security Class
726,"about 8 out of 10 times i try to use the app and search for books or just read a synopsis, it crashes and closes",Security Class
727,i have told the app from to store to download samples and they have not shown up in my library,Security Class
728,i have purchased some books that have not shown up in the library,Security Class
729,app crashes every time i try to buy a book,Security Class
730,"i then decided i wanted to read the book again, but when i go to redownload it the book just stays perpetually grayed out",Security Class
731,"it shows no progress in downloading but i can't read my book either, and i can't delete this to stop the issue",Security Class
732,problem was when it synced the collection to my iphone: three of the four didn't show up,Security Class
733,"looked at the purchased books, and the three lost don't show there either",Security Class
734,"so, even though you've paid for them, you can't have them",Security Class
735,and it seems they delete them for you,Security Class
736,"i purchased a book that was pretty big in size (almost 1 gb) and even though i had more than the recommended space available, it would never download",Security Class
737,"i was told to try again, so i did with no success",Security Class
738,this ap won't open books that i purchased,Security Class
739,"after 7 emails to support and uninstalling, upgrading, syncing and getting very upset, i still can't read my books",Security Class
740,my entire library is gone,Security Class
741,last week my ibook saved pdfs were visible then disappeared from my eyes,Security Class
742,"i tried to restore and after 2 unsuccessful restores, i had to use a six month old backup, consequently losing all my contacts",Security Class
743,i bought a book and it wouldn't let me read it,Security Class
744,"when i read across devices and bookmark my pages, syncing doesn't occur like it used to",Security Class
745,the app closes itself about 5 seconds after opening every single time,Security Class
746,i especially don't enjoy getting halfway through a book only to discover i have to restart my device because the pages have gone blank,Security Class
747,i had some audio books that have just plain gone missing and they want me to buy them again,Security Class
748,"whenever i use ibooks on my ipad 2, while reading the screen dims, lights back up again (without me touching it), then dims again and then sleeps",Security Class
749,"i have auto lock set at 2 minutes, but with this problem it takes 4",Security Class
750,"the problem only occurs in this app, not on the homepage or other apps",Security Class
751,the app still crashes a lot and sometimes it takes a longtime for a book to download and/or open,Security Class
752,it doesn't show the books i already purchased,Security Class
753,so i often end of repurchasing the book,Security Class
754,it's also so slow and always crashing,Security Class
755,"so i checked my account, and it said i had $9 left, even though it said i had $22 before",Security Class
756,i went back i the app and it wasn't even in my library,Security Class
757,"it involves patiently waiting for items to be fully highlighted, 15 second intervals between page flips, annotations just sporadically running away from exstence, and even a few app crashes",Security Class
758,"for the second time in a year, after plugging my iphone in to backup using itunes, over half the pdf files i had on my phone are just gone",Security Class
759,"not losing any files for any other app, so i can't see how this is itunes doing it",Security Class
760,when i try to switch devices i'm lost,Security Class
761,actually it's kinda embarrasing about how an 'i' product cannot connect with airdrop,Security Class
762,"i can connect airdrop with my documents (yes, it's an app), but ibooks can't",Security Class
763,the app is buggy,Security Class
764,my notes and highlights got out of sync with their respective places in the book,Security Class
765,when i clicked on the notes/highlights i was redirected to an incorrect page,Security Class
766,i've been using the kindle app ever since i ran into the bug,Security Class
767,"well, every page of every one of my books has just gone black",Security Class
768,my pages still take forever to load while reading a book and don't get me started on downloading new books,Security Class
769,the app itself was always glitchy,Security Class
770,i just purchased a book and 4 hours later it still hasn't loaded,Security Class
771,it randomly shuts down while trying to download,Security Class
772,it has a few bugs but still works great,Security Class
773,it won't let me buy a book and it is frozen on its download and won't even let me download it again,Security Class
774,"however, i can't read when ibooks is continually glitching and shutting down for no reason",Security Class
775,"for some reason, no matter how many updates, ibooks always fails to work properly",Security Class
776,i love to read but the joy is being taken out of it when i'm always frustrated trying to get it to work,Security Class
777,"i love ibooks, but for the first time, ibooks stole my money",Security Class
778,so i spent $399 on nothing,Security Class
779,"listen up bubs, you'd best [exletive] interface this [exletive] app like the [exletive] app store because i will rage if this thing doesn't load properly",Security Class
780,takes ages to search any book,Security Class
781,many small bugs in it,Security Class
782,"it takes forever to load and once it does, the page doesn't scroll when you want it to",Security Class
783,not to mention it always crashing while i'm reading,Security Class
784,"disappointing and frustrating, i've tried troubleshooting and it just doesn't work",Security Class
785,my only complaint is the dictionary never works,Security Class
786,"bought with money 7 books, not one downloaded for three days",Security Class
787,the app crashes any time i click a title in the store,Security Class
788,"what is the point of having the app if you can't download things to read, or even preview anything",Security Class
789,i can't read the first sentence on the pages,Security Class
790,i use this app all the time and now it wont even open,Security Class
791,i have books that i cant read with any other reader and now i cant even get to them,Security Class
792,double loads books,Security Class
793,refuses to deletesome books,Security Class
794,"i kept about 3gb of reference books on me, but ibooks keeps deleting them along with all my categories",Security Class
795,then after three or four tries downloading the book it can't be found in the app,Security Class
796,i have to open and close the app numerous times to find the book on my ipad,Security Class
797,then when i finally find the book it freezes constantly and then flips through numerous pages,Security Class
798,also no matter how many pages you read the first time you close the book it goes back to page one,Security Class
799,cannot open up app at all,Security Class
800,terrible cheap scan quality lo-res bitmap charts and illustrations,Security Class
801,"all my highlights are clipped to two lines, so i can’t review anything",Security Class
802,"now, it takes forever to completely load",Security Class
803,books sometimes freeze when loading and while reading,Security Class
804,"tap on them in purchased books, they show as loading, but they never load",Security Class
805,"i have to load them onto another device, then delete them from all devices to attempt to load them onto my ipad for a second time",Security Class
806,really upset cause now i can't read anything i've paid for needs to fixed asap,Security Class
807,bookmarks no longer work,Security Class
808,skips two sizes when pressed once,Security Class
809,the app closes itself about 5 seconds after opening every single time,Security Class
810,lost or erased all my pdf files,Security Class
811,"doesn't work, at all",Security Class
812,books aren't downloading and formatting is way off,Security Class
813,why when i open my library to read does it prompt me to log in to itunes store,Security Class
814,where is my document,Security Class
815,i cannot redownload dictionaries,Security Class
816,it keeps freezing while i read,Security Class
817,currently impossible to view my purchased items,Security Class
818,really bad application i had proof of my car insurance has a pdf and it disappeared with any trace,Security Class
819,lost all my epub library,Security Class
820,the store doesn't work,Security Class
821,the app is only showing me my library it will not let me go shop at the store  i'm highly upset,Security Class
822,it doesn't download,Security Class
823,its broken,Security Class
824,it's broke,Security Class
825,it crashes,Security Class
826,huge mistake here,Security Class
827,buggy and maddening,Security Class
828,big mistake,Security Class
829,don't download,Security Class
830,nothing works,Security Class
831,crashes,Security Class
832,double downloads,Security Class
833,it doesn't download,Security Class
834,don't download,Security Class
835,"it makes my phone run slower and it freezes and shuts off while i'm reading a book, and won't let me on other books",Security Class
836,i don't agree with it shutting down or crashing it works fine the only problem is if you don't have wifi and u go to the store it freezes it on that screen but it does go away ;),Security Class
837,there are several functions screwed up,Security Class
838,"sometimes store not connected or server not available, get this,often",Security Class
839,it is bugging out on key features that make it useless,Security Class
840,it keeps downloading multiple copies of my books,Security Class
841,"frequently crashes, ",Security Class
842,books don't download when i buy,Security Class
843,i used to look ibooks,Security Class
844,"utterly terrible actually, crashes all the time, ",Security Class
845,hangs often,Security Class
846,it is just make whatsapp interface ugly,Security Class
847,we can have together group chat in whats app it is also exraa odinary,Security Class
848,while talk on video u can not to other work,Security Class
849,while video chat u can not open other app if u open then video chat will be paused,Security Class
850,chating during night cause a lot of eye irritation,Security Class
851,"overall pretty good, however i dont like the fact that i have to save media files on to my phone to view them or use web whatsapp",Security Class
852,but if u guys would add football team logos or players emojis for football lovers than it'll be simply amazing,Security Class
853,most ugliest interface ever with most ugliest emoticons ever,Security Class
854,but it's not perfectly works like video call that's y l will give only,Security Class
855,while we are in offline also its ringing and in we are in other normal call also whats app call is coming not able to answer both the calls,Security Class
856,didn't liked the changed look of emojis,Security Class
857,it's all great execpt that we kinda get bored with the green colour,Security Class
858,change the ui like instagram or make it customizable,Security Class
859,i really dont like when we sent music files and it pops up a message and says some files have exeed  mb so could not be sent,Security Class
860,and other than that the video call clarity is not that good like other app so even this issue should be taken care of and other than that this app is exellent for chatting,Security Class
861,even what's made forward option more easier to use it,Security Class
862,"whatever we send,it will be compressed nd sent to the other person",Security Class
863,just wanted the feature of sending high resolution images too,Security Class
864,whatsapp has the feature to see who has viewed your message but heres the problem; we have to first highlight it then tap at the top of the screen and then in another window it shows who has viewed your message,Security Class
865,my whatsapp is working fine on my lg g  but the volume of the mic is very low in this application in specific,Security Class
866,i need tap on whatsapp apps to get the notification,Security Class
867,so for these changes i have to scroll down to bottom and select the default status,Security Class
868,i know you can send gifs but they convert to videos and giphy isn't built in like it is with texra and many other apps,Security Class
869,now i give a five star for adding what i've always wanted with style,Security Class
870,i would give it   stars if u could be able to let us have a bigger profile pic and make the noise a little more clearer in the calls other wise pretty great so please make a update thank u,Security Class
871,hope this apps will come our with animation emojis like line apps so it will be much more cool and awsome,Security Class
872,can the family emojis be improved to include people of colour,Security Class
873,"the latest update means that we have to hold down the record button to record a video, whereas before we just had to press it",Security Class
874,"sign language uses both hands, using one hand to hold the button down makes signing very difficult to produce and to understand",Security Class
875,the voice quality is horrific,Security Class
876,it'll be crazy fun to see animated and much more exressive emojis like shrug,Security Class
877,"for instance if i want to change my profile pic with hd pic or any other pic, it decreases the picture quality after updating your dp",Security Class
878,don't like the size of emojis,Security Class
879,is very poor cant open foto and videos when u dont have data but uve got monthly watsapp data is better the old vision does even show the colour if the msg is been read or wht i hate this  ,Security Class
880,old smileys were better than this,Security Class
881,we want old smileys back,Security Class
882,new smileys are too bad,Security Class
883,but its not clearly show video calling,Security Class
884,also please can u let people change the colour of whatsapp to a different one (e.g. right now it's green so can u please change it),Security Class
885,the emojis are disgusting and the old ones were so cute,Security Class
886,can you make some other emojis like the troll face or meme or something like those,Security Class
887,there's defect in apearance of online friends,Security Class
888,online friends should have special appearance in an dependant list,Security Class
889,now a days groups have thousands of messages so when you are seeing that messages and someone join or left the group it goes directly down to that notification that someone left the group or joined,Security Class
890,so you have to scroll thousands of messages to get back where you were,Security Class
891,and also so that i don't have to hold the record button for long when creating a voice note,Security Class
892,childish stickers and so on,Security Class
893,i am truly outraged that there is no potato emoji on whatsapp,Security Class
894,why have a pile of smiling crap when theres no potato,Security Class
895,there needs to be a potato emoji soon or else,Security Class
896,bring back the old status view below the dp,Security Class
897,the new emojis and the fact that they become bigger if used alone is an eye sore,Security Class
898,during calls also voice is not clear,Security Class
899,however the new emoji update is really bringing it down,Security Class
900,edit: and why are the emojis bigger what does it add u morons,Security Class
901,when we delete all chats from setting then broadcast list also get deleted and we need to creat again and again the new broadcast list,Security Class
902,this is exremely irritating as when trying to reply to someone i end up replying to someone else,Security Class
903,why does everything has to be on a white screen,Security Class
904,"sir, while we sent a photo of mb(megabyte) to other user then the photo size will automatically reduced/decrease to almost kb, after download the photo we will not be get the original size of photo for a result the image quality will converted into low quality",Security Class
905,why is sending gifs such a long-winded and confusing operation,Security Class
906,i'm not seeing the person i'm chatting with clearly as i would on other apps,Security Class
907,too much noice disturbance,Security Class
908,video is not clear of other person on call,Security Class
909,hat's off to the development team for upgrading the camera features (for non front camera flash mobile this app is a must ),Security Class
910,microphone recognition it's very low when i record audio messages,Security Class
911,good voice clarity nd video is in hd,Security Class
912,"its very easy to send massege to anyone with images , audio with vedio",Security Class
913,but the images are compressed way too much,Security Class
914,and strengthening the signals for calls,Security Class
915,the emojis look weird and different,Security Class
916,"they work on updates for basic stuff but the huge update that whatsapp could have, they don't even think of it and is the feature to change the color of the bubble messages and color themes",Security Class
917,this green and white is so boring at this era,Security Class
918,whenever m busy doing something important the whatsaap gives a pop up with the message arrived but it takes me out of the other things which are more important than whatsaap messages,Security Class
919,make it easier to remove yourself from groups,Security Class
920,simple ui with tons of features,Security Class
921,please put the status back to its prior place under one's dp before shared media,Security Class
922,have to scroll down to see another person's status,Security Class
923,when i upload my  -  mb full hdr picture as dp， after put on dp it was just remain    kb and having very bad quality,Security Class
924,like its the easiest app to use and its very clear and super fast to learn about,Security Class
925,"you have to close the app down, then go back on to it, call qualities are bad most of the time and etc",Security Class
926,most ugliest interface ever with most ugliest emoticons ever,Security Class
927,because children used and seen bad think and send bad video;photo,Security Class
928,whatsapp calling doesn't have material design,Security Class
929,app design should be changed,Security Class
930,more emoticons like in line or telegram would be great,Security Class
931,but missing theme develop theme for more fun,Security Class
932,improve pics sending quality,Security Class
933,can the family emojis be improved to include people of colour,Security Class
934,give some different colour to whatapps icon,Security Class
935,still nees to improve calling,Security Class
936,plzz add some imo like fb messenger,Security Class
937,put in funny emojis,Security Class
938,like ninja emoticons,Security Class
939,but please add stickers to it like other messengers,Security Class
940,pictures are blurry,Security Class
941,please stop requirement of upgrading it every second day,Security Class
942,but it would be better if you allow more healthy number of characters for status update,Security Class
943,when doing voice or video calls it just can't connect easily like imo voice and video calls,Security Class
944,update app fast easly using message chating free call also is there this app you can try,Security Class
945,their is no emoji of nepal flag,Security Class
946,add beautiful emojis,Security Class
947,i don't want to be in a group but that group admin adds me again if i exit,Security Class
948,now its time to upgrade whatsapp give new logo design and   and  also,Security Class
949,funny big stickers coz more app have this facility,Security Class
950,the voice calls and video calles aren't so clear ,Security Class
951,reduce image quality,Security Class
952,when i went through the different emojis i saw middle finger then i was thinking why would the creator of whatsapp put a middle finger in the emojis like that's wrong who puts bad nonsense in an app,Security Class
953,give an option to edit photos while sending from gallery and need more emojis this app has jsut basic emojis when compared to hangouts thought its implementation was fail but whats app need to make things available,Security Class
954,i can't stand that i have to go to ibooks to download files online  if i leave while it's downloading it won't work,Security Class
955,apple let people who prefer the look and feel of reading a book have the classic look back,Security Class
956,"the current look is ugly, cold, sterile, but most of all just not fun to read",Security Class
957,"return the old, not ordinary book design, please",Security Class
958,the design we have now is too plain,Security Class
959,"i mean its a book app, so it must look like book",Security Class
960,"the app is lame, with it's generic look",Security Class
961,i have to flip through chapters to start the book,Security Class
962,"i listening during my commute, so when i have to manually forward to the nex chapter, it becomes more trouble than it's worth",Security Class
963,love this new design,Security Class
964,i just wanted the spock's vulcan salute emoji icon and,Security Class
965,hate the new look,Security Class
966,bring back the bookshelf,Security Class
967,"the bookshelf felt cozy, as though you were actually pulling a book off the shelf",Security Class
968,terrible design after last update,Security Class
969,note to designers: dark room,Security Class
970,going back to the library is very jarring with its bright white background,Security Class
971,update and now this beautiful new design (boring,Security Class
972,"another thing, if you could add the arabic books to your library that would be good",Security Class
973,"even if there is another version released called ibooks classic with the wooden bookshelf ui , we will be thankful",Security Class
974,it's completely white and sterile and not the cozy wooden bookshelf it used to be,Security Class
975,i have loved the look of the original design with the wood and have avoided updated for the new design for over a year because of its cold look and lack of realism,Security Class
976,i am actually crying over the look,Security Class
977,the wood shelves were classy,Security Class
978,on the nex upgrade can you include a variety of bookshelf colors,Security Class
979,the pale gray is unattractive and hard on my eyes,Security Class
980,any wood stain color would suffice,Security Class
981,a bookshelf like that in real life and a whole room/personal library like that look has been my dream of the life,Security Class
982,the new updated look is a total crap,Security Class
983,please provide those old look at least as themes guys,Security Class
984,i miss the nice bookshelves of the old design – the white bars with gradients don't match up in terms of quality,Security Class
985,"even if you're not a fan of skeuomorphism, there's got to be something better than this flat design with gradients",Security Class
986,bring back the previous version's aesthetics along with new functionality,Security Class
987,new functionality doesn't mean you have to sacrifice aesthetics or visual design,Security Class
988,"this is the best app for reading books, but adding more fonts would make it even better",Security Class
989,"also, can you please bring the old design back",Security Class
990,my eyes hurt from the white bookshelf,Security Class
991,can't believe they ditched the wooden shelf,Security Class
992,trying to read a book and the book stuff is act weird,Security Class
993,"opening the app, i see that the recent releases section is now gone, replaced with popular sci-fi or fantasy",Security Class
994,"i personally think the back is okay, if a little dull",Security Class
995,"normally i don't write reviews, but the new ibooks  is so ugly",Security Class
996,"too white, too boring",Security Class
997,saw all that gorgeous and good looking share sheets and airdrop,Security Class
998,"i like the new icon, but the app itself is so white and boring",Security Class
999,you should at least make it orange as the icon,Security Class
1000,"the old look was a stranger in ios7, but still better looking and way more awesome",Security Class
1001,"i agree with many other reviewers -- the loss of the bookshelf look, the boring and ugly flat design plus the stark white background and inability to scale the type make it exremely difficult to read anything on this app",Security Class
1002,"ugly, i was looking forward to something new and sleek",Security Class
1003,hate the stark white boring look of the library,Security Class
1004,the kindle is a great app with an amazing book shelf and collection,Security Class
1005,ios7 y u no have color,Security Class
1006,"while i am all for a slick new look, the visual 'upgrades' to the new version seem like a regression",Security Class
1007,"to start, the library went from an aesthetically pleasing and functional bookshelf look to something that is now a bland and stark list view",Security Class
1008,i hate the new look,Security Class
1009,"need to put the old classic design back, it made you feel like you were reading a real book",Security Class
1010,the highlighter now looks horrible it looked real and better before the update,Security Class
1011,the awesome real shelf design is gone and all of these features need to come back or i will stop using this app,Security Class
1012,miss the bookshelf,Security Class
1013,even the highlighter is disappointing now; before it looked handwritten and now the perfect edges take away from that,Security Class
